date,time,code,open,high,low,close,volume,amount
2013/6/14,2013-06-14 09:45,sz.000001,5.888746,5.91664006,5.87634864,5.89184534,5096300,96953960
2013/6/14,2013-06-14 10:00,sz.000001,5.888746,5.89184534,5.84535524,5.86395128,2309400,43729384
2013/6/14,2013-06-14 10:15,sz.000001,5.86395128,5.88564666,5.85465326,5.88564666,1503400,28448016
2013/6/14,2013-06-14 10:30,sz.000001,5.88564666,5.89494468,5.8422559,5.85155392,1860400,35229456
2013/6/14,2013-06-14 10:45,sz.000001,5.85155392,5.86705062,5.8267592,5.83915656,1770600,33393248
2013/6/14,2013-06-14 11:00,sz.000001,5.83915656,5.86395128,5.83915656,5.8577526,1292900,24414144
2013/6/14,2013-06-14 11:15,sz.000001,5.8577526,5.93213676,5.85465326,5.9042427,3310000,63137072
2013/6/14,2013-06-14 11:30,sz.000001,5.9042427,5.9197394,5.888746,5.91664006,942400,17949600
2013/6/14,2013-06-14 13:15,sz.000001,5.9197394,5.92593808,5.91044138,5.91664006,1169500,22335200
2013/6/14,2013-06-14 13:30,sz.000001,5.91664006,5.93833544,5.89494468,5.89494468,2017100,38563904
2013/6/14,2013-06-14 13:45,sz.000001,5.89804402,5.91354072,5.88564666,5.9042427,2882300,54835136
2013/6/14,2013-06-14 14:00,sz.000001,5.90734204,5.9197394,5.89804402,5.90734204,786900,14999808
2013/6/14,2013-06-14 14:15,sz.000001,5.90734204,5.9197394,5.90114336,5.91354072,1058700,20190016
2013/6/14,2013-06-14 14:30,sz.000001,5.91664006,5.92283874,5.9042427,5.92283874,1859800,35484928
2013/6/14,2013-06-14 14:45,sz.000001,5.92903742,5.9507328,5.9042427,5.91664006,2894500,55383552
2013/6/14,2013-06-14 15:00,sz.000001,5.9197394,5.9197394,5.9042427,5.90734204,2101100,40078016
2013/6/17,2013-06-17 09:45,sz.000001,5.93833544,5.95693148,5.8732493,5.89494468,3039200,57985036
2013/6/17,2013-06-17 10:00,sz.000001,5.89494468,5.94763346,5.888746,5.93213676,2234100,42719796
2013/6/17,2013-06-17 10:15,sz.000001,5.93213676,5.94143478,5.89184534,5.9042427,1767800,33795424
2013/6/17,2013-06-17 10:30,sz.000001,5.9042427,5.9352361,5.9042427,5.92283874,1766400,33705360
2013/6/17,2013-06-17 10:45,sz.000001,5.9197394,5.96932884,5.91044138,5.96003082,2677300,51406352
2013/6/17,2013-06-17 11:00,sz.000001,5.96003082,6.01891828,5.96003082,6.01891828,2750100,53150144
2013/6/17,2013-06-17 11:15,sz.000001,6.01891828,6.02511696,5.9817262,6.02201762,3346000,64840928
2013/6/17,2013-06-17 11:30,sz.000001,6.02201762,6.0592097,6.01891828,6.04991168,2225800,43341472
2013/6/17,2013-06-17 13:15,sz.000001,6.05301102,6.0592097,6.01581894,6.01581894,1396000,27230240
2013/6/17,2013-06-17 13:30,sz.000001,6.01891828,6.04061366,6.0127196,6.03131564,1421700,27652192
2013/6/17,2013-06-17 13:45,sz.000001,6.01891828,6.043713,6.01581894,6.01891828,1120500,21800192
2013/6/17,2013-06-17 14:00,sz.000001,6.01891828,6.03751432,6.0127196,6.02511696,1086000,21111392
2013/6/17,2013-06-17 14:15,sz.000001,6.02511696,6.0282163,5.95383214,5.96313016,1402900,27118208
2013/6/17,2013-06-17 14:30,sz.000001,5.96003082,5.9817262,5.95383214,5.9662295,1329100,25573024
2013/6/17,2013-06-17 14:45,sz.000001,5.96313016,6.00962026,5.96313016,5.99102422,1564300,30207232
2013/6/17,2013-06-17 15:00,sz.000001,5.99102422,5.99412356,5.95693148,5.96313016,1793800,34553216
2013/6/18,2013-06-18 09:45,sz.000001,6.0282163,6.15838858,6.0282163,6.15528924,7641500,150131792
2013/6/18,2013-06-18 10:00,sz.000001,6.15838858,6.21107736,6.14289188,6.18628264,8445600,168217040
2013/6/18,2013-06-18 10:15,sz.000001,6.1831833,6.18628264,6.13049452,6.14289188,2871100,57085088
2013/6/18,2013-06-18 10:30,sz.000001,6.14289188,6.1521899,6.10260046,6.11499782,2416000,47721472
2013/6/18,2013-06-18 10:45,sz.000001,6.1211965,6.12739518,6.08090508,6.12429584,1964500,38680224
2013/6/18,2013-06-18 11:00,sz.000001,6.12429584,6.14289188,6.11809716,6.13049452,988900,19558336
2013/6/18,2013-06-18 11:15,sz.000001,6.13049452,6.14599122,6.06850772,6.1211965,2441600,48083104
2013/6/18,2013-06-18 11:30,sz.000001,6.11809716,6.13359386,6.11499782,6.12739518,999000,19751488
2013/6/18,2013-06-18 13:15,sz.000001,6.13049452,6.13359386,6.10879914,6.13049452,1173300,23192384
2013/6/18,2013-06-18 13:30,sz.000001,6.12739518,6.13359386,6.11499782,6.11809716,944500,18672256
2013/6/18,2013-06-18 13:45,sz.000001,6.11809716,6.1211965,6.10260046,6.11189848,769600,15167680
2013/6/18,2013-06-18 14:00,sz.000001,6.11189848,6.12739518,6.10879914,6.12739518,1055100,20824704
2013/6/18,2013-06-18 14:15,sz.000001,6.12739518,6.13979254,6.12429584,6.12429584,2062400,40814400
2013/6/18,2013-06-18 14:30,sz.000001,6.12739518,6.13049452,6.10260046,6.10879914,1183100,23342208
2013/6/18,2013-06-18 14:45,sz.000001,6.10879914,6.1211965,6.09330244,6.09950112,1935200,38142400
2013/6/18,2013-06-18 15:00,sz.000001,6.09640178,6.1211965,6.09640178,6.11499782,2068500,40771328
2013/6/19,2013-06-19 09:45,sz.000001,6.0592097,6.0592097,5.96003082,6.00032224,3509800,68007728
2013/6/19,2013-06-19 10:00,sz.000001,6.00032224,6.0127196,5.96313016,5.98792488,2471000,47700448
2013/6/19,2013-06-19 10:15,sz.000001,5.98482554,5.9972229,5.96932884,5.9817262,1977400,38174096
2013/6/19,2013-06-19 10:30,sz.000001,5.98482554,5.99102422,5.9352361,5.9507328,2747900,52916992
2013/6/19,2013-06-19 10:45,sz.000001,5.9507328,6.01891828,5.94763346,5.9817262,2223100,42953760
2013/6/19,2013-06-19 11:00,sz.000001,5.97552752,5.99102422,5.93833544,5.9507328,2561300,49306016
2013/6/19,2013-06-19 11:15,sz.000001,5.9507328,6.01891828,5.9507328,6.00962026,2221500,42988192
2013/6/19,2013-06-19 11:30,sz.000001,6.01581894,6.03441498,5.9972229,6.00652092,1662400,32251840
2013/6/19,2013-06-19 13:15,sz.000001,6.00652092,6.00652092,5.98482554,5.9972229,765800,14813568
2013/6/19,2013-06-19 13:30,sz.000001,5.99412356,6.0127196,5.99412356,5.9972229,1040700,20156192
2013/6/19,2013-06-19 13:45,sz.000001,5.9972229,6.0127196,5.9662295,5.9662295,961700,18579488
2013/6/19,2013-06-19 14:00,sz.000001,5.9662295,5.99412356,5.96313016,5.97242818,1479600,28538688
2013/6/19,2013-06-19 14:15,sz.000001,5.96932884,6.00342158,5.96932884,5.99102422,2914900,56260064
2013/6/19,2013-06-19 14:30,sz.000001,5.98792488,5.99102422,5.97552752,5.97862686,1836300,35439968
2013/6/19,2013-06-19 14:45,sz.000001,5.97862686,5.9817262,5.95693148,5.95693148,3272900,63065472
2013/6/19,2013-06-19 15:00,sz.000001,5.95693148,5.9662295,5.95693148,5.96313016,5351500,102917504
2013/6/20,2013-06-20 09:45,sz.000001,5.96813759,5.96813759,5.77803765,5.8030508,9425300,110340864
2013/6/20,2013-06-20 10:00,sz.000001,5.79304554,5.83806921,5.77803765,5.82806395,7076100,82083376
2013/6/20,2013-06-20 10:15,sz.000001,5.83306658,5.91811129,5.8030508,5.88309288,3356900,39424864
2013/6/20,2013-06-20 10:30,sz.000001,5.87809025,5.9031034,5.84807447,5.8530771,2218900,26042128
2013/6/20,2013-06-20 10:45,sz.000001,5.8530771,5.86308236,5.81805869,5.84807447,2430300,28375616
2013/6/20,2013-06-20 11:00,sz.000001,5.84807447,5.8530771,5.81805869,5.81805869,1409300,16458624
2013/6/20,2013-06-20 11:15,sz.000001,5.81805869,5.83806921,5.79304554,5.80805343,2538300,29485664
2013/6/20,2013-06-20 11:30,sz.000001,5.81305606,5.81805869,5.79304554,5.8030508,1577600,18305536
2013/6/20,2013-06-20 13:15,sz.000001,5.81305606,5.81305606,5.68799031,5.71300346,7085800,81380544
2013/6/20,2013-06-20 13:30,sz.000001,5.70800083,5.74802187,5.7029982,5.72801135,3730200,42715520
2013/6/20,2013-06-20 13:45,sz.000001,5.73301398,5.73301398,5.67798505,5.68298768,6600000,75116608
2013/6/20,2013-06-20 14:00,sz.000001,5.68799031,5.70800083,5.64796927,5.66797979,7311400,82997056
2013/6/20,2013-06-20 14:15,sz.000001,5.66797979,5.66797979,5.5529193,5.57793245,12504900,140148480
2013/6/20,2013-06-20 14:30,sz.000001,5.57292982,5.62295612,5.56292456,5.59294034,7630700,85337600
2013/6/20,2013-06-20 14:45,sz.000001,5.59294034,5.59294034,5.56292456,5.58293508,6294400,70198272
2013/6/20,2013-06-20 15:00,sz.000001,5.58293508,5.59294034,5.54291404,5.59294034,9116600,101327360
2013/6/21,2013-06-21 09:45,sz.000001,5.47787985,5.52290352,5.42785355,5.4528667,8823200,96478016
2013/6/21,2013-06-21 10:00,sz.000001,5.4528667,5.62795875,5.4528667,5.59294034,8040500,89216256
2013/6/21,2013-06-21 10:15,sz.000001,5.60794823,5.67798505,5.6029456,5.66297716,7947400,89676864
2013/6/21,2013-06-21 10:30,sz.000001,5.66297716,5.67298242,5.63796401,5.67298242,3714200,41973536
2013/6/21,2013-06-21 10:45,sz.000001,5.67298242,5.69299294,5.6529719,5.69299294,3786100,42921184
2013/6/21,2013-06-21 11:00,sz.000001,5.69299294,5.69799557,5.63296138,5.63296138,4208600,47624768
2013/6/21,2013-06-21 11:15,sz.000001,5.63296138,5.63796401,5.59294034,5.60794823,2872000,32196672
2013/6/21,2013-06-21 11:30,sz.000001,5.60794823,5.62295612,5.58293508,5.61795349,3180500,35613152
2013/6/21,2013-06-21 13:15,sz.000001,5.62295612,5.63296138,5.6029456,5.62295612,1843600,20685888
2013/6/21,2013-06-21 13:30,sz.000001,5.61295086,5.65797453,5.61295086,5.62795875,2261700,25499136
2013/6/21,2013-06-21 13:45,sz.000001,5.62295612,5.63796401,5.6029456,5.62795875,1599400,17951840
2013/6/21,2013-06-21 14:00,sz.000001,5.62795875,5.63296138,5.61295086,5.62295612,1656200,18607552
2013/6/21,2013-06-21 14:15,sz.000001,5.62795875,5.68298768,5.62295612,5.63796401,2421900,27393088
2013/6/21,2013-06-21 14:30,sz.000001,5.63796401,5.68298768,5.63796401,5.64796927,2307700,26128000
2013/6/21,2013-06-21 14:45,sz.000001,5.64296664,5.6529719,5.63296138,5.64296664,2190900,24714112
2013/6/21,2013-06-21 15:00,sz.000001,5.64296664,5.64796927,5.63296138,5.64296664,4546400,51257792
2013/6/24,2013-06-24 09:45,sz.000001,5.55792193,5.55792193,5.3528141,5.38783251,13551600,146683104
2013/6/24,2013-06-24 10:00,sz.000001,5.38783251,5.38783251,5.27777465,5.29278254,12202500,129829440
2013/6/24,2013-06-24 10:15,sz.000001,5.29778517,5.31279306,5.23275098,5.2527615,9256600,97552928
2013/6/24,2013-06-24 10:30,sz.000001,5.24775887,5.3027878,5.21274046,5.26276676,9117500,95514240
2013/6/24,2013-06-24 10:45,sz.000001,5.26276676,5.28777991,5.24775887,5.25776413,3494100,36742560
2013/6/24,2013-06-24 11:00,sz.000001,5.2527615,5.25776413,5.09767997,5.17772205,9513400,98185632
2013/6/24,2013-06-24 11:15,sz.000001,5.17772205,5.17772205,5.09267734,5.11268786,6379500,65428160
2013/6/24,2013-06-24 11:30,sz.000001,5.11268786,5.16771679,5.1026826,5.14270364,4606900,47351680
2013/6/24,2013-06-24 13:15,sz.000001,5.14770627,5.16771679,5.09267734,5.1026826,5497900,56357632
2013/6/24,2013-06-24 13:30,sz.000001,5.1026826,5.11268786,5.07766945,5.09267734,9420200,95798528
2013/6/24,2013-06-24 13:45,sz.000001,5.08767471,5.09767997,5.07766945,5.07766945,9991300,101452352
2013/6/24,2013-06-24 14:00,sz.000001,5.07766945,5.08267208,5.07766945,5.07766945,7535200,76483776
2013/6/24,2013-06-24 14:15,sz.000001,5.07766945,5.09267734,5.07766945,5.09267734,7022800,71299264
2013/6/24,2013-06-24 14:30,sz.000001,5.09267734,5.09267734,5.07766945,5.07766945,4994000,50698624
2013/6/24,2013-06-24 14:45,sz.000001,5.07766945,5.07766945,5.07766945,5.07766945,2367100,24026112
2013/6/24,2013-06-24 15:00,sz.000001,5.07766945,5.07766945,5.07766945,5.07766945,1716600,17423488
2013/6/25,2013-06-25 09:45,sz.000001,4.9025774,4.91258266,4.7524985,4.85755373,22553900,218374912
2013/6/25,2013-06-25 10:00,sz.000001,4.86755899,4.93759581,4.84754847,4.87756425,12554400,122687168
2013/6/25,2013-06-25 10:15,sz.000001,4.88256688,4.88756951,4.67245642,4.68246168,17983800,170499296
2013/6/25,2013-06-25 10:30,sz.000001,4.68246168,4.78251428,4.68246168,4.7524985,10050900,95223136
2013/6/25,2013-06-25 10:45,sz.000001,4.75750113,4.82753795,4.75750113,4.78251428,7330100,70255872
2013/6/25,2013-06-25 11:00,sz.000001,4.78251428,4.78751691,4.71748009,4.72248272,7881600,74797824
2013/6/25,2013-06-25 11:15,sz.000001,4.74249324,4.75750113,4.6524459,4.65744853,11066800,103944192
2013/6/25,2013-06-25 11:30,sz.000001,4.6524459,4.6524459,4.57240382,4.57740645,17990300,165380608
2013/6/25,2013-06-25 13:15,sz.000001,4.57740645,4.66245116,4.57240382,4.65744853,10979800,100905216
2013/6/25,2013-06-25 13:30,sz.000001,4.65744853,4.73248798,4.6524459,4.72748535,6471500,60801280
2013/6/25,2013-06-25 13:45,sz.000001,4.72748535,4.82253532,4.69246694,4.8025248,10030000,95115392
2013/6/25,2013-06-25 14:00,sz.000001,4.8025248,5.02764315,4.8025248,4.94760107,10192500,100563968
2013/6/25,2013-06-25 14:15,sz.000001,4.94760107,4.96761159,4.84754847,4.96260896,6525500,64179840
2013/6/25,2013-06-25 14:30,sz.000001,4.96761159,5.03764841,4.92258792,5.03764841,5825700,57871488
2013/6/25,2013-06-25 14:45,sz.000001,5.03764841,5.0526563,4.97261422,5.02264052,7546100,75693568
2013/6/25,2013-06-25 15:00,sz.000001,5.02264052,5.02764315,4.98261948,4.99262474,6733400,67349376
2013/6/26,2013-06-26 09:45,sz.000001,5.00263,5.00263,4.8525511,4.89257214,17981900,177418496
2013/6/26,2013-06-26 10:00,sz.000001,4.89257214,4.9526037,4.86755899,4.9025774,14481200,142154048
2013/6/26,2013-06-26 10:15,sz.000001,4.90758003,4.90758003,4.80752743,4.82753795,11276200,109677344
2013/6/26,2013-06-26 10:30,sz.000001,4.82253532,4.8525511,4.79251954,4.80752743,8385200,80824384
2013/6/26,2013-06-26 10:45,sz.000001,4.80752743,4.88756951,4.8025248,4.87756425,3999600,38835552
2013/6/26,2013-06-26 11:00,sz.000001,4.88256688,4.9025774,4.82753795,4.84754847,4347200,42288384
2013/6/26,2013-06-26 11:15,sz.000001,4.84754847,4.92759055,4.82753795,4.90758003,2554100,24895104
2013/6/26,2013-06-26 11:30,sz.000001,4.90758003,4.91758529,4.8525511,4.88756951,2544800,24906048
2013/6/26,2013-06-26 13:15,sz.000001,4.89757477,4.91758529,4.86255636,4.88256688,2830500,27596608
2013/6/26,2013-06-26 13:30,sz.000001,4.87756425,4.91758529,4.86255636,4.87756425,3473700,33927232
2013/6/26,2013-06-26 13:45,sz.000001,4.87756425,4.88756951,4.8525511,4.8525511,3509000,34128064
2013/6/26,2013-06-26 14:00,sz.000001,4.85755373,4.85755373,4.81253006,4.82253532,5380500,51968128
2013/6/26,2013-06-26 14:15,sz.000001,4.81753269,4.86755899,4.80752743,4.86255636,4308900,41640768
2013/6/26,2013-06-26 14:30,sz.000001,4.87256162,4.90758003,4.85755373,4.88256688,4564500,44554688
2013/6/26,2013-06-26 14:45,sz.000001,4.88756951,4.91758529,4.85755373,4.86755899,6105700,59742272
2013/6/26,2013-06-26 15:00,sz.000001,4.86255636,4.88256688,4.85755373,4.88256688,5972100,58184000
2013/6/27,2013-06-27 09:45,sz.000001,4.92759055,4.98762211,4.9025774,4.93259318,15384900,152166144
2013/6/27,2013-06-27 10:00,sz.000001,4.92759055,4.93759581,4.86755899,4.90758003,6331300,62093744
2013/6/27,2013-06-27 10:15,sz.000001,4.90758003,4.93259318,4.9025774,4.91758529,5716500,56116752
2013/6/27,2013-06-27 10:30,sz.000001,4.91758529,4.97261422,4.91758529,4.93759581,4872100,48177280
2013/6/27,2013-06-27 10:45,sz.000001,4.94259844,4.98261948,4.93759581,4.97761685,3750700,37152672
2013/6/27,2013-06-27 11:00,sz.000001,4.97761685,4.99762737,4.9526037,4.9526037,7146600,71170976
2013/6/27,2013-06-27 11:15,sz.000001,4.9526037,4.96761159,4.92258792,4.93759581,4174900,41286752
2013/6/27,2013-06-27 11:30,sz.000001,4.93259318,4.95760633,4.91258266,4.91758529,2410000,23776896
2013/6/27,2013-06-27 13:15,sz.000001,4.91758529,4.92258792,4.88756951,4.9025774,4866700,47738016
2013/6/27,2013-06-27 13:30,sz.000001,4.9025774,4.91258266,4.86755899,4.87256162,3660800,35768256
2013/6/27,2013-06-27 13:45,sz.000001,4.87256162,4.89757477,4.82753795,4.87756425,5335900,51876672
2013/6/27,2013-06-27 14:00,sz.000001,4.87256162,4.89757477,4.86255636,4.89257214,2229900,21756672
2013/6/27,2013-06-27 14:15,sz.000001,4.88756951,4.89757477,4.84254584,4.85755373,2739500,26652096
2013/6/27,2013-06-27 14:30,sz.000001,4.8525511,4.86755899,4.81253006,4.84254584,3144100,30364288
2013/6/27,2013-06-27 14:45,sz.000001,4.83754321,4.85755373,4.81753269,4.81753269,3044900,29435520
2013/6/27,2013-06-27 15:00,sz.000001,4.82253532,4.83754321,4.77751165,4.8025248,8777900,84180160
2013/6/28,2013-06-28 09:45,sz.000001,4.7524985,4.7524985,4.65744853,4.71748009,10099300,95080048
2013/6/28,2013-06-28 10:00,sz.000001,4.71247746,4.88256688,4.70747483,4.84754847,10051700,96704576
2013/6/28,2013-06-28 10:15,sz.000001,4.84254584,4.94259844,4.82753795,4.90758003,7222900,70641472
2013/6/28,2013-06-28 10:30,sz.000001,4.90758003,4.98261948,4.90758003,4.93759581,9744000,96563792
