underlying_symbol,datetime,trading_date,volume,high,close,low,total_turnover,open_interest,open,dominant_id
IC,2017-01-03 09:45:00,2017-01-03,820.0,6256.0,6249.4,6225.2,1023269520.0,19028.0,6242.0,IC1701
IC,2017-01-03 10:00:00,2017-01-03,983.0,6283.4,6272.0,6249.4,1232513600.0,18767.0,6249.4,IC1701
IC,2017-01-03 10:15:00,2017-01-03,506.0,6281.8,6276.4,6263.6,634842840.0,18675.0,6272.0,IC1701
IC,2017-01-03 10:30:00,2017-01-03,525.0,6293.2,6293.2,6271.2,659663960.0,18604.0,6276.4,IC1701
IC,2017-01-03 10:45:00,2017-01-03,452.0,6297.0,6290.2,6285.8,568840200.0,18565.0,6293.6,IC1701
IC,2017-01-03 11:00:00,2017-01-03,272.0,6294.6,6286.8,6284.0,342202960.0,18556.0,6290.6,IC1701
IC,2017-01-03 11:15:00,2017-01-03,207.0,6288.6,6283.8,6280.4,260168280.0,18565.0,6286.8,IC1701
IC,2017-01-03 11:30:00,2017-01-03,262.0,6284.2,6271.8,6268.6,328825160.0,18572.0,6284.0,IC1701
IC,2017-01-03 13:15:00,2017-01-03,146.0,6281.0,6272.4,6271.0,183238880.0,18592.0,6273.0,IC1701
IC,2017-01-03 13:30:00,2017-01-03,146.0,6279.8,6278.0,6271.2,183227240.0,18616.0,6272.6,IC1701
IC,2017-01-03 13:45:00,2017-01-03,209.0,6285.8,6275.4,6273.0,262493480.0,18632.0,6276.8,IC1701
IC,2017-01-03 14:00:00,2017-01-03,266.0,6283.0,6268.2,6268.2,333725080.0,18669.0,6274.2,IC1701
IC,2017-01-03 14:15:00,2017-01-03,224.0,6272.6,6268.8,6266.0,280831400.0,18702.0,6267.8,IC1701
IC,2017-01-03 14:30:00,2017-01-03,302.0,6281.0,6278.2,6266.2,378853960.0,18788.0,6270.0,IC1701
IC,2017-01-03 14:45:00,2017-01-03,309.0,6286.4,6274.4,6270.2,387919880.0,18915.0,6278.0,IC1701
IC,2017-01-03 15:00:00,2017-01-03,714.0,6280.0,6275.8,6273.2,896186560.0,19447.0,6274.4,IC1701
IC,2017-01-04 09:45:00,2017-01-04,623.0,6281.0,6277.0,6267.2,781607720.0,19009.0,6275.8,IC1701
IC,2017-01-04 10:00:00,2017-01-04,329.0,6279.6,6274.8,6273.8,412974400.0,18812.0,6277.0,IC1701
IC,2017-01-04 10:15:00,2017-01-04,272.0,6284.6,6276.6,6270.8,341527000.0,18669.0,6274.8,IC1701
IC,2017-01-04 10:30:00,2017-01-04,313.0,6294.2,6292.6,6275.6,393370960.0,18559.0,6276.6,IC1701
IC,2017-01-04 10:45:00,2017-01-04,496.0,6303.0,6299.8,6291.2,624868040.0,18410.0,6292.4,IC1701
IC,2017-01-04 11:00:00,2017-01-04,508.0,6315.2,6312.0,6298.4,641016720.0,18393.0,6299.4,IC1701
IC,2017-01-04 11:15:00,2017-01-04,392.0,6318.6,6313.0,6306.6,494876600.0,18290.0,6312.2,IC1701
IC,2017-01-04 11:30:00,2017-01-04,458.0,6338.0,6337.0,6307.0,579297160.0,18280.0,6313.0,IC1701
IC,2017-01-04 13:15:00,2017-01-04,382.0,6347.8,6338.4,6336.0,484439040.0,18249.0,6338.0,IC1701
IC,2017-01-04 13:30:00,2017-01-04,252.0,6345.4,6344.6,6334.8,319571040.0,18244.0,6338.8,IC1701
IC,2017-01-04 13:45:00,2017-01-04,263.0,6346.8,6340.8,6335.0,333502560.0,18246.0,6344.6,IC1701
IC,2017-01-04 14:00:00,2017-01-04,279.0,6349.4,6348.2,6339.6,354039520.0,18286.0,6341.8,IC1701
IC,2017-01-04 14:15:00,2017-01-04,486.0,6363.2,6355.2,6346.0,617821040.0,18380.0,6348.2,IC1701
IC,2017-01-04 14:30:00,2017-01-04,452.0,6363.6,6360.8,6351.0,574750400.0,18502.0,6353.8,IC1701
IC,2017-01-04 14:45:00,2017-01-04,558.0,6366.0,6362.8,6352.4,709730280.0,18648.0,6359.6,IC1701
IC,2017-01-04 15:00:00,2017-01-04,870.0,6372.0,6367.0,6361.0,1107802680.0,19127.0,6362.8,IC1701
IC,2017-01-05 09:45:00,2017-01-05,757.0,6369.0,6364.4,6358.2,963614640.0,18719.0,6362.0,IC1701
IC,2017-01-05 10:00:00,2017-01-05,358.0,6365.6,6356.4,6356.0,455408040.0,18530.0,6364.6,IC1701
IC,2017-01-05 10:15:00,2017-01-05,292.0,6366.8,6365.8,6353.4,371567360.0,18400.0,6356.2,IC1701
IC,2017-01-05 10:30:00,2017-01-05,309.0,6367.8,6358.6,6358.6,393180080.0,18318.0,6364.2,IC1701
IC,2017-01-05 10:45:00,2017-01-05,335.0,6361.8,6350.8,6349.0,425800120.0,18217.0,6358.4,IC1701
IC,2017-01-05 11:00:00,2017-01-05,332.0,6361.6,6359.8,6347.0,421780080.0,18125.0,6350.0,IC1701
IC,2017-01-05 11:15:00,2017-01-05,223.0,6364.4,6356.2,6354.8,283617280.0,18076.0,6359.8,IC1701
IC,2017-01-05 11:30:00,2017-01-05,173.0,6362.0,6353.6,6353.6,219959080.0,18080.0,6356.2,IC1701
IC,2017-01-05 13:15:00,2017-01-05,99.0,6358.6,6356.0,6355.0,125858040.0,18065.0,6358.2,IC1701
