underlying_symbol,datetime,trading_date,volume,high,close,low,total_turnover,open_interest,open,dominant_id
IF,2017-01-03 09:45:00,2017-01-03,1368.0,3313.2,3312.8,3290.0,1355050260.0,26885.0,3290.0,IF1701
IF,2017-01-03 10:00:00,2017-01-03,1443.0,3336.2,3332.2,3312.8,1440417900.0,26533.0,3312.8,IF1701
IF,2017-01-03 10:15:00,2017-01-03,748.0,3338.4,3332.8,3328.2,747906240.0,26486.0,3332.6,IF1701
IF,2017-01-03 10:30:00,2017-01-03,663.0,3343.0,3342.4,3329.6,663421920.0,26463.0,3332.8,IF1701
IF,2017-01-03 10:45:00,2017-01-03,639.0,3346.0,3336.8,3336.4,640390020.0,26453.0,3342.4,IF1701
IF,2017-01-03 11:00:00,2017-01-03,428.0,3338.8,3333.6,3330.0,428152080.0,26444.0,3338.0,IF1701
IF,2017-01-03 11:15:00,2017-01-03,272.0,3334.6,3330.6,3330.0,271890000.0,26455.0,3333.6,IF1701
IF,2017-01-03 11:30:00,2017-01-03,508.0,3331.4,3325.6,3321.4,506868600.0,26497.0,3330.6,IF1701
IF,2017-01-03 13:15:00,2017-01-03,226.0,3328.6,3325.6,3324.0,225515940.0,26551.0,3326.0,IF1701
IF,2017-01-03 13:30:00,2017-01-03,219.0,3329.0,3328.0,3324.4,218544180.0,26607.0,3325.6,IF1701
IF,2017-01-03 13:45:00,2017-01-03,275.0,3331.8,3328.8,3326.8,274658520.0,26607.0,3328.2,IF1701
IF,2017-01-03 14:00:00,2017-01-03,399.0,3333.0,3324.2,3324.2,398383680.0,26625.0,3328.8,IF1701
IF,2017-01-03 14:15:00,2017-01-03,298.0,3327.8,3326.2,3322.2,297225300.0,26705.0,3324.2,IF1701
IF,2017-01-03 14:30:00,2017-01-03,350.0,3332.6,3332.0,3324.8,349525020.0,26877.0,3325.8,IF1701
IF,2017-01-03 14:45:00,2017-01-03,577.0,3335.4,3326.2,3325.0,576361200.0,27168.0,3331.8,IF1701
IF,2017-01-03 15:00:00,2017-01-03,926.0,3328.6,3326.0,3323.4,923919420.0,27863.0,3326.0,IF1701
IF,2017-01-04 09:45:00,2017-01-04,1030.0,3330.8,3330.0,3320.6,1027394700.0,27161.0,3320.6,IF1701
IF,2017-01-04 10:00:00,2017-01-04,508.0,3333.6,3328.0,3327.6,507598380.0,26960.0,3330.8,IF1701
IF,2017-01-04 10:15:00,2017-01-04,430.0,3331.8,3326.0,3326.0,429409740.0,26721.0,3328.4,IF1701
