underlying_symbol,datetime,trading_date,volume,high,close,low,total_turnover,open_interest,open,dominant_id
IH,2017-01-03 09:45:00,2017-01-03,673.0,2293.0,2292.2,2274.0,460984500.0,17522.0,2279.0,IH1701
IH,2017-01-03 10:00:00,2017-01-03,795.0,2307.8,2305.0,2292.4,548983140.0,17402.0,2292.4,IH1701
IH,2017-01-03 10:15:00,2017-01-03,314.0,2307.8,2304.8,2300.4,217038000.0,17417.0,2304.8,IH1701
IH,2017-01-03 10:30:00,2017-01-03,258.0,2309.6,2309.6,2303.0,178435140.0,17476.0,2305.2,IH1701
IH,2017-01-03 10:45:00,2017-01-03,271.0,2310.6,2306.2,2304.8,187568520.0,17523.0,2309.6,IH1701
IH,2017-01-03 11:00:00,2017-01-03,211.0,2307.0,2300.8,2299.0,145763700.0,17530.0,2305.8,IH1701
IH,2017-01-03 11:15:00,2017-01-03,145.0,2302.8,2300.0,2300.0,100104000.0,17486.0,2301.6,IH1701
IH,2017-01-03 11:30:00,2017-01-03,270.0,2300.6,2296.4,2295.0,186059520.0,17494.0,2299.8,IH1701
IH,2017-01-03 13:15:00,2017-01-03,136.0,2300.0,2298.2,2296.8,93773640.0,17494.0,2296.8,IH1701
IH,2017-01-03 13:30:00,2017-01-03,101.0,2301.0,2301.0,2298.6,69676140.0,17471.0,2298.8,IH1701
IH,2017-01-03 13:45:00,2017-01-03,139.0,2303.2,2302.8,2300.0,95990940.0,17480.0,2301.0,IH1701
IH,2017-01-03 14:00:00,2017-01-03,152.0,2303.6,2298.4,2298.4,104899560.0,17488.0,2302.0,IH1701
IH,2017-01-03 14:15:00,2017-01-03,102.0,2299.8,2299.2,2296.6,70334880.0,17516.0,2298.4,IH1701
IH,2017-01-03 14:30:00,2017-01-03,174.0,2303.0,2303.0,2297.2,120046860.0,17594.0,2298.8,IH1701
IH,2017-01-03 14:45:00,2017-01-03,188.0,2304.2,2298.8,2298.0,129790620.0,17682.0,2303.0,IH1701
